,City,Lng,Lat,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
180,Roswell,-104.52,33.39,1,US,1563652576,14,104.0,11.32
181,Akdepe,59.39,42.05,0,TM,1563652799,29,91.4,9.17
182,Presidente Olegario,-46.42,-18.42,92,BR,1563652875,56,70.0,3.0
183,Pitimbu,-34.81,-7.47,75,BR,1563652876,69,80.6,9.17
184,Iracoubo,-53.21,5.48,100,GF,1563652876,91,78.1,5.14
185,Tuktoyaktuk,-133.03,69.44,90,CA,1563652511,87,55.4,9.17
186,San Andres,122.68,13.32,100,PH,1563652876,90,77.74,2.64
187,Tual,132.75,-5.67,84,ID,1563652876,82,76.66,20.15
188,Thompson,-97.86,55.74,75,CA,1563652526,39,66.2,11.41
189,Brae,-1.35,60.4,98,GB,1563652517,93,57.2,10.29
190,Cabo San Lucas,-109.91,22.89,5,MX,1563652328,58,89.01,11.41
191,Les Cayes,-73.75,18.19,0,HT,1563652877,77,83.86,16.96
192,Hattiesburg,-89.29,31.33,20,US,1563652878,78,84.99,4.7
193,Maceio,-35.74,-9.67,75,BR,1563652810,88,71.6,4.7
194,Ponta Delgada,-25.67,37.73,40,PT,1563652879,88,73.4,5.82
195,Saint-Augustin,-73.98,45.63,75,CA,1563652796,62,93.99,9.17
196,Sistranda,8.83,63.73,75,NO,1563652879,56,69.8,14.99
197,Upernavik,-56.15,72.79,100,GL,1563652625,93,43.54,12.35
198,Tianpeng,112.34,28.88,96,CN,1563652880,80,79.54,1.86
199,Kochki,80.49,54.33,55,RU,1563652880,86,56.68,6.33
200,Hay River,-115.79,60.82,20,CA,1563652880,50,75.2,6.93
201,Manati,19.67,41.76,0,AL,1563652880,83,73.4,1.12
202,Touros,-35.46,-5.2,75,BR,1563652881,69,80.6,12.75
203,Qaanaaq,-69.36,77.48,97,GL,1563652768,81,41.92,2.51
204,Dingle,122.67,11.0,36,PH,1563652807,89,74.5,2.1
205,Kutum,24.66,14.2,100,SD,1563652764,62,76.3,8.52
206,Haines Junction,-137.51,60.75,80,CA,1563652684,50,63.52,5.21
207,Sayyan,44.32,15.17,17,YE,1563652882,45,77.02,0.45
208,Ponta do Sol,-46.0,-20.63,61,BR,1563652784,64,60.28,5.23
209,Ruwi,58.55,23.6,0,OM,1563652882,84,86.0,6.93
210,Chynadiyovo,22.82,48.48,100,UA,1563652882,88,64.99,13.0
211,Portland,-70.25,43.66,1,US,1563652799,49,93.99,8.05
212,Canmore,-115.35,51.09,90,CA,1563652848,93,53.6,8.05
213,Bethel,-161.76,60.79,90,US,1563652628,93,53.6,11.41
214,Coquimbo,-71.34,-29.95,0,CL,1563652883,72,59.0,14.99
215,Clyde River,-68.59,70.47,75,CA,1563652883,86,41.0,10.29
216,Jiaozhou,120.03,36.26,0,CN,1563652883,78,77.0,4.47
217,Tasiilaq,-37.64,65.61,40,GL,1563652521,76,48.2,8.05
218,Maniitsoq,-52.9,65.42,21,GL,1563652884,80,48.94,11.92
219,Sao Joao da Barra,-41.05,-21.64,40,BR,1563652786,69,73.4,16.11
220,Cap Malheureux,57.61,-19.98,40,MU,1563652773,83,71.6,6.93
221,Cayon,-62.73,17.35,20,KN,1563652884,62,88.0,9.17
222,Ancud,-73.83,-41.87,90,CL,1563652847,93,42.8,8.05
223,Lages,-50.33,-27.82,0,BR,1563652885,86,57.4,4.52
224,Tucurui,-49.67,-3.77,0,BR,1563652843,58,81.34,2.13
225,Mobaye,21.18,4.33,54,CF,1563652885,97,69.82,1.48
226,Ilulissat,-51.1,69.22,75,GL,1563652885,71,51.8,4.7
227,Yulara,130.99,-25.24,0,AU,1563652831,50,53.6,6.93
228,Khatanga,102.47,71.98,0,RU,1563652583,58,65.68,9.42
229,Biak,122.88,-0.91,85,ID,1563652776,98,62.98,5.08
230,San Juan,-68.53,-31.54,100,AR,1563652886,11,63.7,6.55
231,Nantucket,-70.1,41.28,1,US,1563652887,83,91.4,11.41
232,Singarayakonda,80.02,15.25,14,IN,1563652887,74,83.14,7.67
233,Kindu,25.92,-2.95,1,CD,1563652887,74,73.6,3.83
234,Stykkisholmur,-22.73,65.08,2,IS,1563652888,79,52.9,14.56
235,Poso,120.75,-1.4,26,ID,1563652888,93,59.74,4.23
236,Chumikan,135.31,54.72,100,RU,1563652888,98,51.64,2.59
237,Malangali,34.85,-8.57,19,TZ,1563652889,60,64.42,5.75
238,Sibolga,98.78,1.74,100,ID,1563652612,78,81.88,12.03
239,Magdagachi,125.8,53.45,100,RU,1563652889,98,65.14,11.95
240,Prince Rupert,-130.32,54.32,1,CA,1563652889,77,62.6,5.82
241,Arraial do Cabo,-42.02,-22.97,75,BR,1563652531,68,71.6,20.8
242,Petrokamenskoye,60.65,57.72,100,RU,1563652890,96,62.8,3.87
243,Beloha,45.06,-25.17,0,MG,1563652890,64,64.96,12.24
244,Taoudenni,-3.98,22.68,54,ML,1563652891,9,108.34,14.05
245,Petatlan,-101.27,17.52,75,MX,1563652891,59,93.2,6.93
246,Bagdarin,113.59,54.44,100,RU,1563652891,96,51.28,3.78
247,Clearlake,-122.63,38.96,90,US,1563652892,77,86.0,3.36
248,Puerto Narino,-70.38,-3.77,40,CO,1563652892,79,84.2,5.82
249,Fuyu,124.46,47.79,93,CN,1563652892,94,70.9,6.4
250,Santa Maria,-48.01,-16.02,20,BR,1563652815,40,73.4,12.75
251,Geraldton,-86.95,49.72,75,CA,1563652499,43,73.4,10.29
252,Sotik,35.11,-0.69,57,KE,1563652893,93,58.48,2.51
253,Trincomalee,81.23,8.58,100,LK,1563652893,69,80.8,12.15
254,Henties Bay,14.28,-22.12,0,NA,1563652839,86,57.99,8.25
255,Norsup,167.38,-16.07,75,VU,1563652894,73,75.2,8.05
256,Babstovo,132.48,48.12,100,RU,1563652894,94,68.92,7.02
257,Tortoli,9.66,39.93,20,IT,1563652894,88,77.0,10.29
258,Verkhnevilyuysk,120.31,63.45,0,RU,1563652895,72,53.08,1.45
259,Deputatskiy,139.9,69.3,100,RU,1563652895,65,50.2,18.07
260,Takhtamygda,123.57,54.1,100,RU,1563652895,98,55.96,9.04
261,Paramonga,-77.82,-10.68,46,PE,1563652895,85,61.18,10.0
262,San Quintin,120.52,17.54,100,PH,1563652896,89,75.58,3.33
263,Buckeye,-112.58,33.37,20,US,1563652747,14,108.0,8.05
264,Vila Velha,-38.6,-3.71,75,BR,1563652591,65,86.0,17.22
265,Hirara,125.28,24.8,100,JP,1563652730,84,83.5,19.06
266,Aitape,142.36,-3.15,60,PG,1563652835,93,76.48,4.25
267,Taunggyi,97.03,20.78,99,MM,1563652897,93,68.92,2.93
268,Calvinia,19.78,-31.47,15,ZA,1563652897,36,43.72,9.55
269,Lavrentiya,-170.99,65.58,100,RU,1563652862,94,42.82,4.54
270,Codrington,153.24,-28.95,90,AU,1563652782,93,55.99,8.05
271,Saint Anthony,-111.68,43.97,1,US,1563652897,20,77.0,9.17
272,Imuris,-110.86,30.78,0,MX,1563652898,32,98.01,1.99
273,Akcakoca,31.12,41.09,0,TR,1563652898,90,63.52,1.95
274,Samarai,150.67,-10.62,96,PG,1563652898,90,70.72,2.13
275,Qostanay,63.58,53.17,40,KZ,1563652899,50,75.2,8.95
276,Mut,33.44,36.64,0,TR,1563652899,42,65.68,6.87
277,Pochutla,-96.47,15.74,5,MX,1563652900,55,91.0,11.41
278,Sandwick,-2.89,54.57,0,GB,1563652900,67,64.0,16.11
279,Roseburg,-123.34,43.22,1,US,1563652900,40,80.01,8.05
280,Paamiut,-49.67,61.99,0,GL,1563652879,93,42.64,15.68
281,Shimoda,138.93,34.7,100,JP,1563652865,95,75.99,1.5
282,Pangnirtung,-65.72,66.15,75,CA,1563652578,63,64.4,14.99
283,Airai,125.41,-8.93,0,TL,1563652656,63,65.68,3.87
284,Marsa Matruh,27.25,31.35,20,EG,1563652901,61,80.6,6.93
285,Araria,87.47,26.13,70,IN,1563652901,73,85.48,4.92
286,Tura,100.22,64.27,0,RU,1563652826,70,49.3,2.8
287,Saldanha,-6.55,41.42,0,PT,1563652743,47,72.88,7.74
288,Severo-Kurilsk,156.12,50.68,33,RU,1563652622,96,45.52,12.12
289,Harlingen,5.41,53.18,75,NL,1563652902,82,68.0,9.17
290,Horta,-37.66,-10.93,40,BR,1563652902,61,80.6,13.87
291,Da Lat,108.44,11.95,100,VN,1563652903,99,68.02,1.12
292,Onalaska,-91.23,43.88,1,US,1563652903,100,72.0,10.29
293,Waipawa,176.59,-39.94,35,NZ,1563652682,75,48.0,4.0
294,Galveston,-86.19,40.58,40,US,1563652656,59,95.0,17.22
295,Flinders,150.85,-34.58,0,AU,1563652904,70,57.99,6.93
296,Shelburne,-80.2,44.08,75,CA,1563652904,46,93.0,12.75
297,Flin Flon,-101.88,54.77,75,CA,1563652904,45,66.2,4.7
298,Anadyr,177.51,64.73,75,RU,1563652753,93,59.0,11.18
299,Komsomolskiy,63.78,67.55,98,RU,1563652598,82,56.32,7.25
300,Coos Bay,-124.22,43.37,1,US,1563652905,63,77.0,16.11
301,Lensk,114.91,60.71,0,RU,1563652905,64,49.12,9.01
302,Mindelo,-8.72,41.31,20,PT,1563652906,93,70.0,11.41
303,Port Augusta,137.76,-32.49,0,AU,1563652906,76,51.8,6.93
304,Cairns,145.77,-16.92,40,AU,1563652678,72,66.2,9.17
305,Vao,26.19,59.1,0,EE,1563652750,79,58.12,4.9
306,Sambava,50.17,-14.27,100,MG,1563652564,80,70.18,1.9
307,Melilla,-80.23,-0.8,40,EC,1563652841,74,80.6,11.41
308,Madang,102.79,35.32,100,CN,1563652907,77,44.44,3.58
309,Chipiona,-75.2,-14.54,0,PE,1563652908,38,76.66,8.75
310,Praia da Vitoria,-27.07,38.73,20,PT,1563652908,69,78.8,14.92
311,Hauterive,-68.27,49.18,1,CA,1563652909,61,80.6,14.99
312,Ahipara,173.16,-35.17,33,NZ,1563652640,72,56.68,11.79
313,Esperance,121.89,-33.86,75,AU,1563652832,87,51.8,17.22
314,Iralaya,-83.23,15.0,75,HN,1563652909,79,86.0,9.17
315,Olinda,145.39,-37.84,0,AU,1563652910,66,57.99,27.51
316,Tokmak,35.7,47.26,0,UA,1563652910,49,68.02,6.62
317,Yaan,8.57,7.38,100,NG,1563652910,93,74.14,6.87
318,Orissaare,23.08,58.56,0,EE,1563652910,63,66.2,5.82
319,Balikpapan,116.86,-1.24,8,ID,1563652910,98,70.54,1.88
320,Singleton,151.17,-32.57,0,AU,1563652911,93,48.99,5.82
321,Nelson Bay,152.14,-32.72,0,AU,1563652822,93,48.99,5.82
322,Planaltina,-47.66,-15.62,20,BR,1563652911,40,73.4,12.75
323,Takaka,172.81,-40.86,88,NZ,1563652911,89,48.99,3.0
324,Sidi Ali,0.42,36.1,0,DZ,1563652912,89,75.94,5.46
325,Okhotsk,143.24,59.36,0,RU,1563652795,55,56.68,20.51
326,Namatanai,152.44,-3.66,81,PG,1563652751,85,78.64,11.83
327,Rosarito,-75.23,4.91,40,CO,1563652785,53,86.0,5.82
328,Chufarovo,47.33,54.09,0,RU,1563652912,88,58.48,8.43
329,Narasannapeta,84.04,18.42,12,IN,1563652913,92,78.82,0.72
330,Mangai,19.59,-4.07,17,CD,1563652913,49,76.84,1.7
331,Suamico,-88.04,44.63,90,US,1563652913,83,71.01,8.05
332,Suntar,117.65,62.16,0,RU,1563652913,68,50.2,3.13
333,Wadi Musa,35.48,30.32,0,JO,1563652914,86,67.3,2.89
334,Saint-Pierre,4.24,48.95,0,FR,1563652662,57,78.8,11.41
335,Plover,-89.54,44.46,90,US,1563652914,100,71.6,5.82
336,Svetlogorsk,59.15,53.14,90,RU,1563652914,73,69.8,20.13
337,Ostrovnoy,39.51,68.05,0,RU,1563652877,85,40.12,0.63
338,Kenitra,-6.57,34.26,75,MA,1563652915,78,73.4,13.87
339,Numan,12.04,9.46,0,NG,1563652915,85,75.22,6.4
340,South Lake Tahoe,-119.98,38.93,1,US,1563652915,24,88.0,6.35
341,Calama,-68.93,-22.46,0,CL,1563652916,8,73.4,21.92
342,Hopfgarten,11.22,50.99,40,DE,1563652916,82,71.01,10.29
343,Cidreira,-50.22,-30.17,0,BR,1563652685,78,61.72,7.7
344,Talcahuano,-73.12,-36.72,90,CL,1563652587,87,55.4,18.34
345,Cherskiy,161.3,68.75,98,RU,1563652774,62,44.98,7.11
346,Kodinsk,99.18,58.6,100,RU,1563652917,46,60.46,10.27
347,Manzhouli,117.43,49.6,87,CN,1563652902,84,56.86,19.33
348,Wawa,4.41,9.9,56,NG,1563652917,77,76.3,5.37
349,Rocha,-54.34,-34.48,61,UY,1563652917,88,64.24,10.02
350,Nhulunbuy,136.78,-12.18,94,AU,1563652858,100,60.8,3.36
351,Pundaguitan,126.17,6.37,86,PH,1563652918,76,80.8,2.95
352,Rozivka,38.15,47.51,0,UA,1563652918,50,69.1,5.75
353,Zonguldak,31.83,41.25,0,TR,1563652721,77,70.0,19.46
354,Chilliwack,-121.95,49.17,20,CA,1563652802,52,75.99,2.24
355,Adrar,-0.29,27.87,72,DZ,1563652701,12,111.2,17.22
356,Mehamn,27.85,71.03,0,NO,1563652919,77,53.44,2.71
357,Loukhi,33.04,66.08,25,RU,1563652919,72,53.98,2.86
358,Mae Sai,99.89,20.44,75,MM,1563652919,100,75.2,12.75
359,Bilibino,166.44,68.06,100,RU,1563652920,74,39.76,2.71
360,Hasaki,140.83,35.73,75,JP,1563652801,100,73.4,6.93
361,Faya,42.45,18.39,100,SA,1563652558,15,80.6,10.29
362,Whitehorse,-135.06,60.72,75,CA,1563652621,82,62.01,4.7
363,Briancon,6.65,44.9,100,FR,1563652920,61,77.0,2.28
364,Tuensang,94.81,26.24,100,IN,1563652921,97,73.06,2.8
365,Vila,8.4,45.18,0,IT,1563652921,42,82.99,4.7
366,Atambua,124.89,-9.11,8,ID,1563652840,74,74.14,9.82
367,Evensk,159.24,61.92,100,RU,1563652921,79,52.36,5.08
368,Aksarka,67.8,66.56,0,RU,1563652922,78,59.92,2.1
369,Howard,-97.53,44.01,40,US,1563652922,83,77.0,4.7
370,Sobolevo,31.9,54.43,0,RU,1563652786,75,54.52,5.82
371,Varazdin,16.34,46.3,0,HR,1563652922,57,77.0,9.17
372,Fukue,136.69,35.03,75,JP,1563652873,88,78.8,8.05
373,Gallup,-108.74,35.53,1,US,1563652923,15,87.8,10.29
374,Tecoanapa,-99.26,16.99,75,MX,1563652924,66,87.8,10.29
375,Kendari,122.52,-3.99,18,ID,1563652924,98,69.46,1.28
